호선,역번호,출발역,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,25시
2호선,260,까치산,10.4,18.15,45,45,22.25,15.05,11.5,11.7,10.9,10.45,12.15,14.55,20.35,34.15,27.15,13.85,11.85,9.05,7.25,1.65,0.4
2호선,9001,성수E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2호선,9001,성수E,8.6,17.35,42.7,42.7,34,29.05,31.45,27.45,31.05,32.2,32.35,37.6,39.1,57.55,52.6,45.7,38.7,45.35,24.3,12.2,4.3
2호선,9002,성수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2호선,9002,성수,1.3,4.6,8.4,8.4,12.4,10.3,10.2,9.75,11.4,13,15.8,21.7,30.1,59.55,43.9,30.8,25.75,25.6,14.7,8.3,3.2
2호선,9003,신도림,4.8,11.15,23.7,23.7,14.6,12.3,10.6,13.25,15.4,17.85,20.35,28.9,44.6,78.5,83.05,46.15,34.05,32.15,28.9,12.45,4.8
2호선,9003,신도림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3호선,309,지축,15.8,11.1,16.75,16.75,15.45,13.7,15.85,17.35,21.35,23.6,32.65,34.3,47.25,84.9,86.85,49.65,45,34.75,33.95,28.9,0
3호선,309,지축,40.4,44.3,89.5,89.5,59.85,43.55,40.8,32.8,29,26.1,24,23.6,28.45,28.45,21.5,11.95,11,8.7,7.8,4.4,3.4
3호선,310,구파발,16.2,8,10.95,10.95,8.65,8.8,9.55,11.55,22.05,15.85,26.35,35.45,38.4,55.7,49.15,31.4,26.5,24,22.85,8.8,0
3호선,310,구파발,18.1,33.55,60.95,60.95,41.55,40.85,36.1,28.2,31.15,24.3,21.3,28.7,21.3,22.35,13.95,9.5,8.55,10.1,7.6,3,3.5
3호선,311,연신내,17.3,10.15,13.35,13.35,11,11.35,12.7,17.15,24.95,23.05,31,43.6,47.45,67.25,61,38.95,32.55,30.25,28.45,12.35,3.4
3호선,311,연신내,26,37.8,68.1,68.1,49.8,41.55,42,30.95,33.25,26.9,21.45,30,19.65,18.5,13.55,8.1,8.1,9.15,7.1,2.95,2.8
3호선,312,불광,15.3,11.2,15.1,15.1,13.35,14,15,20.5,29.35,28,38.1,54.1,61.55,85.7,79.6,50.35,41.55,38.9,35.25,17.4,6.5
3호선,312,불광,34.1,43.3,78.2,78.2,59.9,48.05,46.8,34.55,38.25,31.15,24.45,33.75,23.25,22.15,15.65,9.55,9.45,10.35,8,3.6,3.2
3호선,313,녹번,14.3,9.55,13.85,13.85,13.05,13.1,14.3,20.25,29.2,27.45,39.7,53.25,61.7,86.8,80.45,50.1,42.1,39.75,36.45,18.45,7.9
3호선,313,녹번,40,49.05,89.55,89.55,67.65,55.5,49.45,38.45,40.95,32.75,25.35,34.4,23.7,23.15,15.65,9.5,9.25,9.3,7.75,3.6,2.8
3호선,314,홍제,12.4,9.15,12.85,12.85,12.7,12.65,14.55,20.9,30.7,28,42.5,57.35,73.65,98.05,86.35,57.05,47,44,41.6,21.3,9.6
3호선,314,홍제,45.5,49.75,94.8,94.8,73.6,61.75,53,39.8,45.45,36.6,26.75,36.8,26.5,25.05,16.25,9.8,9.65,9.55,8.05,3.45,2.6
3호선,315,무악재,10.2,8.75,12.8,12.8,13.85,13.85,15.5,22,32.75,30,48.55,59.95,79.4,106.2,93.3,61.15,51.05,49,43.95,21.05,11.6
3호선,315,무악재,46.8,51,97.85,97.85,76.45,64.25,54.05,40.95,45.8,37.2,26.95,37.35,27.6,24.9,16.5,9.7,9.8,9.85,8,3.45,2.5
3호선,316,독립문,9.9,8.75,12.75,12.75,14,13.7,15.45,22.3,33.2,30.65,52.65,60.8,80.75,108.3,95.8,62.75,52.25,50.7,45.7,20.05,12.2
3호선,316,독립문,32.6,52.05,96.6,96.6,77.85,64.55,56.65,40.4,47.25,38.1,27.6,39.05,28.75,26.05,16.7,10.4,9.95,10.1,8.15,3.35,2.4
3호선,317,경복궁,10.9,8.9,13.5,13.5,14.65,14.25,16.35,23.75,34.35,31.15,53.45,61,87.1,107.55,97.3,64.25,52.7,51.7,47.1,20.75,7.2
3호선,317,경복궁,32.8,49.45,93.55,93.55,75.35,64.9,59.5,44.65,52.5,46.75,37.9,53.7,43.5,42.15,25.95,15.9,16.05,15.85,12,4.15,2.3
3호선,318,안국,11.8,11.4,18.75,18.75,28.75,25.8,26.2,33,44.65,37.3,57.75,63.2,84.6,105.6,96.9,61.3,50.95,50.45,47.15,21.05,7.5
3호선,318,안국,32.5,46.5,84.05,84.05,71.6,62.3,58.4,47,56.3,57,46.95,71.75,60.8,61,36.2,22.4,21.8,20.2,13.9,5.15,2.2
3호선,319,종로3가,12.3,16.05,32.25,32.25,39.65,37.35,39.3,42.6,54.7,43.35,61.65,63.35,81.45,102.95,89.45,58.3,50.3,48.55,44.7,19.25,7.7
3호선,319,종로3가,27.1,37.55,67.05,67.05,57.35,50.1,46.3,38.85,46.8,49.75,41.5,61.5,55.25,54.95,35.15,21,20.3,19.65,13.4,5.8,2.5
