역번호,역주변,호선,역명
219,서울시립청소년드림센터,,
219,한국문학번역원,,
219,글래드강남코엑스센터호텔,,
219,광혜병원,,
219,롯데면세점,,
219,한국문화의집 코우스,,
219,한국에너지기술평가원,,
219,서울의료원 강남분원,,
219,강남경찰서,,
219,강남운전면허시험장,,
219,KT&G 타워(서울사옥),,
219,새마을운동중앙회 빌딩,,
219,휘문중고등학교,,
219,대치동방면,,
219,대명중학교,,
219,KT&G 대치타워,,
219,현대백화점면세점,,
219,한국도심공항,,
219,무역센터우체국,,
219,코엑스전시장,,
219,코엑스회의장,,
219,아셈타워,,
219,한국산업은행 강남지점,,
219,강남소방서,,
219,기업은행삼성역지점,,
220,역삼동,,
220,선릉과 정릉,,
220,국민건강보험공단 강남동부지사,,
220,진선 여자 중고등학교,,
220,LH 강남권 주거복지 센터,,
220,"삼성동, 분당선 관할",,
220,서울강남 고용복지플러스센터,,
220,역삼동,,
220,서울신용보증재단,,
220,대치동,,
220,대치동,,
220,역삼동,,
220,국민연금공단 강남역삼지사,,
220,한국토지신탁,,
220,"역삼동, 분당선 관할",,
220,삼성동,,
220,근로복지공단 서울강남지사,,
220,한림국제대학원대학교,,
220,동부센트레빌 아파트,,
220,개나리 SK뷰 아파트,,
220,"역삼동, 분당선 관할",,
220,분당선 관할,,
220,삼성동,,
220,한국표준협회,,
221,  금융결제원,,
221,역삼119안전센터,,
221,특허청서울사무소,,
221,한국발명진흥회,,
221,한국고등교육재단,,
221,한국기술센터,,
221, 기업은행,,
221,한국콘텐츠진흥원 콘텐츠 분쟁조정위원회,,
221,강남소방서 역삼119안전센터,,
221,역삼청소년수련관,,
221,서울대병원강남검진센터,,
221,역삼1동주민센터,,
221,동호대교방면,,
221,바노바기성형외과,,
221,터키이스탄불문화원,,
221,표준협회,,
221,역삼2동주민센터,,
221,대한사회복지회,,
221,강남역방면,,
221,충현복지관,,
221,서울신용보증재단,,
221,한국은행강남본부,,
221, 역삼1동 우체국,,
221,한국감정원,,
221,도곡지구대,,
221,서울시동남어르신돌봄종사자지원센터,,
221,국립어린이청소년도서관,,
221,국기원,,
221, 도곡동 방면,,
222,서초초등학교,,
222,국민건강보험강남지사,,
222,"삼성,서초,역삼 세무서",,
222,KDB산업은행,,
222,서운중학교,,
222,서이초등학교,,
222,특허청,,
222,역삼공원,,
222,서운중학교,,
222,한국여성과학기술인지원센터,,
222,서초4동 주민센터,,
222,서초2동 주민센터,,
222,강남대로,,
222,ELS 어학원,,
222,서초우성아파트,,
222,강남대로,,
222,메가박스,,
222,파고다 타워,,
222,CGV,,
222,서초도씨에빛빌딩,,
222,삼성타운,,
222,진흥아파트,,
222,노보텔 엠베서더 호텔,,
222,영풍문고,,
222,국기원,,
222,역삼초등학교,,
222,"서일 초등학교, 중학교",,
222,강남대로,,
222,교보타워,,
222,메가박스(구 시티극장),,
222,국립어린이청소년도서관,,
222,테헤란로,,
222,국민은행,,
222,대륭강남타워,,
222,하나은행,,
222,역삼1동 주민센터,,
222,메리츠타워,,
222,카카오프렌즈,,
222,강남대로,,
222,테헤란로,,
222,한국자산관리공사,,
223,서초4동,,
223,기업은행                  ,,
223,서초아남아파트,,
223,서초삼성래미안아파트,,
223,유원서초아파트,,
223,대한법률구조공단     ,,
223,법원,,
223,서울 지방고등법원,,
223,서울행정법원,,
223,고속터미널 방면           ,,
223,서초1동,,
223,남부터미널 방면            ,,
223,서울교육대학교 ,,
223,서울교대부속초등학교       ,,
223,검찰청               ,,
223,법원,,
223,서울교육대학교 ,,
223,서울교대부속초등학교         ,,
223,서초4동,,
223,고속터미널방면,,
223,서초3동                  ,,
223,남부터미널 방면        ,,
223,서초역 방면,,
223,삼풍아파트                  ,,
224,서리풀문화광장,,
224,서초모자보건지소,,
224,대한법률구조공단,,
224,서울지방조달청,,
224,서초경찰서,,
224,"법원행정처, 대검찰청",,
224,국립장애인도서관,,
224,한국건강가정진흥원,,
224,서울고교,,
224,사랑의교회,,
224,"서초중, 고교",,
224,반포로 방면,,
224,대한법률구조공단,,
224,구립서초유스센터,,
224,"서울고등, 중앙지방검찰청",,
224,예술의전당 방면,,
224,고용노동부 서초고용센터,,
224,서초3동 우체국,,
224,교대 방면,,
224,지방공기업평가원,,
